7426e2555d1c661f7bf4dc0ee65bd1b668efb101,amp5208,amp5208,"https://github.com/Hygieia/Hygieia/raw/7426e2555d1c661f7bf4dc0ee65bd1b668efb101/core/src/main/java/com/capitalone/dashboard/repository/ScopeOwnerRepository.java
https://github.com/Hygieia/Hygieia/raw/7426e2555d1c661f7bf4dc0ee65bd1b668efb101/jira-feature-collector/src/main/java/com/capitalone/dashboard/client/project/ProjectDataClientSetupImpl.java
https://github.com/Hygieia/Hygieia/raw/7426e2555d1c661f7bf4dc0ee65bd1b668efb101/jira-feature-collector/src/main/java/com/capitalone/dashboard/client/story/FeatureDataClientSetupImpl.java
https://github.com/Hygieia/Hygieia/raw/7426e2555d1c661f7bf4dc0ee65bd1b668efb101/jira-feature-collector/src/main/java/com/capitalone/dashboard/client/team/TeamDataClientSetupImpl.java
https://github.com/Hygieia/Hygieia/raw/7426e2555d1c661f7bf4dc0ee65bd1b668efb101/jira-feature-collector/src/main/java/com/capitalone/dashboard/collector/FeatureCollectorTask.java
https://github.com/Hygieia/Hygieia/raw/7426e2555d1c661f7bf4dc0ee65bd1b668efb101/jira-feature-collector/src/main/java/com/capitalone/dashboard/model/FeatureCollector.java
https://github.com/Hygieia/Hygieia/raw/7426e2555d1c661f7bf4dc0ee65bd1b668efb101/versionone-feature-collector/src/main/java/com/capitalone/dashboard/client/project/ProjectDataClientSetupImpl.java
https://github.com/Hygieia/Hygieia/raw/7426e2555d1c661f7bf4dc0ee65bd1b668efb101/versionone-feature-collector/src/main/java/com/capitalone/dashboard/client/story/FeatureDataClientSetupImpl.java
https://github.com/Hygieia/Hygieia/raw/7426e2555d1c661f7bf4dc0ee65bd1b668efb101/versionone-feature-collector/src/main/java/com/capitalone/dashboard/client/team/TeamDataClientSetupImpl.java
https://github.com/Hygieia/Hygieia/raw/7426e2555d1c661f7bf4dc0ee65bd1b668efb101/versionone-feature-collector/src/main/java/com/capitalone/dashboard/collector/FeatureCollectorTask.java
https://github.com/Hygieia/Hygieia/raw/7426e2555d1c661f7bf4dc0ee65bd1b668efb101/versionone-feature-collector/src/main/java/com/capitalone/dashboard/model/FeatureCollector.java
"
eb8d82fba53ae1dcdc78f3f0d4768cb74d4d709b,Jim Zucker,Jim Zucker,"https://github.com/Hygieia/Hygieia/raw/eb8d82fba53ae1dcdc78f3f0d4768cb74d4d709b/.gitignore
"
559bf6aceacb09daf09cbb418ab2f29d00102abf,Jim Zucker,Jim Zucker,"https://github.com/Hygieia/Hygieia/raw/559bf6aceacb09daf09cbb418ab2f29d00102abf/github-scm-collector/docker/Dockerfile
https://github.com/Hygieia/Hygieia/raw/559bf6aceacb09daf09cbb418ab2f29d00102abf/jira-feature-collector/docker/jira-properties-builder.sh
"
76b66cd7e15f0c86dbfc7bf933c1bacd5f969397,Jim Zucker,Jim Zucker,"https://github.com/Hygieia/Hygieia/raw/76b66cd7e15f0c86dbfc7bf933c1bacd5f969397/docker-compose.yml
https://github.com/Hygieia/Hygieia/raw/68432d0ef7853ef93c653fbf47980c9124e5e201/git-settings.env
https://github.com/Hygieia/Hygieia/raw/76b66cd7e15f0c86dbfc7bf933c1bacd5f969397/github-scm-collector/docker/Dockerfile
https://github.com/Hygieia/Hygieia/raw/76b66cd7e15f0c86dbfc7bf933c1bacd5f969397/github-scm-collector/docker/github-properties-builder.sh
https://github.com/Hygieia/Hygieia/raw/76b66cd7e15f0c86dbfc7bf933c1bacd5f969397/github-settings.env
https://github.com/Hygieia/Hygieia/raw/76b66cd7e15f0c86dbfc7bf933c1bacd5f969397/jira-settings.env
"
68432d0ef7853ef93c653fbf47980c9124e5e201,Jim Zucker,Jim Zucker,"https://github.com/Hygieia/Hygieia/raw/68432d0ef7853ef93c653fbf47980c9124e5e201/jira-settings.env
"
a7c01d75270400a39aa555bcde9924ade0053107,Jim Zucker,Jim Zucker,"https://github.com/Hygieia/Hygieia/raw/a7c01d75270400a39aa555bcde9924ade0053107/UI/src/index.html
https://github.com/Hygieia/Hygieia/raw/a7c01d75270400a39aa555bcde9924ade0053107/docker-compose.yml
https://github.com/Hygieia/Hygieia/raw/a7c01d75270400a39aa555bcde9924ade0053107/git-settings.env
https://github.com/Hygieia/Hygieia/raw/a7c01d75270400a39aa555bcde9924ade0053107/github-scm-collector/docker/Dockerfile
https://github.com/Hygieia/Hygieia/raw/a7c01d75270400a39aa555bcde9924ade0053107/github-scm-collector/docker/git-properties-builder.sh
https://github.com/Hygieia/Hygieia/raw/a7c01d75270400a39aa555bcde9924ade0053107/jira-feature-collector/docker/Dockerfile
https://github.com/Hygieia/Hygieia/raw/a7c01d75270400a39aa555bcde9924ade0053107/jira-feature-collector/docker/jira-properties-builder.sh
https://github.com/Hygieia/Hygieia/raw/a7c01d75270400a39aa555bcde9924ade0053107/jira-settings.env
"
208b34053689bc6fb29341eca7ed3c3aa0accca4,Jim Zucker,Jim Zucker,"https://github.com/Hygieia/Hygieia/raw/208b34053689bc6fb29341eca7ed3c3aa0accca4/docker-compose.yml
https://github.com/Hygieia/Hygieia/raw/208b34053689bc6fb29341eca7ed3c3aa0accca4/jira-feature-collector/README.md
https://github.com/Hygieia/Hygieia/raw/208b34053689bc6fb29341eca7ed3c3aa0accca4/jira-feature-collector/docker/Dockerfile
https://github.com/Hygieia/Hygieia/raw/208b34053689bc6fb29341eca7ed3c3aa0accca4/jira-feature-collector/docker/jira-properties-builder.sh
"
105f2c352cf94e6c55ad817e987030ff4e5d8bf4,Jim Zucker,Jim Zucker,"https://github.com/Hygieia/Hygieia/raw/105f2c352cf94e6c55ad817e987030ff4e5d8bf4/jira-settings.env
"
6c80453a206c7daf2dabdcd033e2f9836c587d44,Jim Zucker,Jim Zucker,"https://github.com/Hygieia/Hygieia/raw/6c80453a206c7daf2dabdcd033e2f9836c587d44/docker-compose.yml
https://github.com/Hygieia/Hygieia/raw/6c80453a206c7daf2dabdcd033e2f9836c587d44/jira-feature-collector/docker/properties-builder.sh
"
8c205d607908b7cedb7f4658ab854416f910346b,Jim Zucker,Jim Zucker,"https://github.com/Hygieia/Hygieia/raw/8c205d607908b7cedb7f4658ab854416f910346b/docker-compose.yml
https://github.com/Hygieia/Hygieia/raw/8c205d607908b7cedb7f4658ab854416f910346b/jira-feature-collector/docker/.gitignore
https://github.com/Hygieia/Hygieia/raw/8c205d607908b7cedb7f4658ab854416f910346b/jira-feature-collector/docker/Dockerfile
https://github.com/Hygieia/Hygieia/raw/8c205d607908b7cedb7f4658ab854416f910346b/jira-feature-collector/docker/properties-builder.sh
https://github.com/Hygieia/Hygieia/raw/8c205d607908b7cedb7f4658ab854416f910346b/jira-feature-collector/pom.xml
"
